seed,arm,frame,tile_idx,n_all_classes,n_plant,max_det,hit_cap
stock_s0,tile,20260705_132815_000564.jpg,5,441,249,12000,0
stock_s0,tile,20260705_132815_000564.jpg,6,353,169,12000,0
stock_s0,tile,20260705_132815_000564.jpg,7,342,162,12000,0
stock_s0,tile,20260705_132815_000564.jpg,8,416,240,12000,0
stock_s0,tile,20260705_132815_000564.jpg,9,466,267,12000,0
stock_s0,tile,20260705_132815_000564.jpg,10,344,203,12000,0
stock_s0,tile,20260705_132815_000564.jpg,11,351,177,12000,0
stock_s0,tile,20260705_132815_000564.jpg,12,420,261,12000,0
stock_s0,tile,20260705_132815_000564.jpg,13,495,304,12000,0
stock_s0,tile,20260705_132815_000564.jpg,14,423,248,12000,0
stock_s0,tile,20260705_132815_000564.jpg,15,395,255,12000,0
stock_s0,tile,20260705_132815_000564.jpg,16,214,116,12000,0
stock_s0,tile,20260705_132815_000564.jpg,17,292,150,12000,0
stock_s0,tile,20260705_132815_000564.jpg,18,201,116,12000,0
stock_s0,tile,20260705_132815_000564.jpg,19,122,86,12000,0
stock_s0,tile,20260705_132815_000564.jpg,20,180,125,12000,0
stock_s0,tile,20260705_132815_000564.jpg,21,198,110,12000,0
stock_s0,tile,20260705_132815_000564.jpg,22,326,173,12000,0
stock_s0,tile,20260705_132815_000564.jpg,23,288,174,12000,0
stock_s0,tile,20260705_132815_000564.jpg,24,72,32,12000,0
