epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,300.922,1.82743,1.14161,1.2745,0.50731,0.49242,0.4624,0.17732,2.10698,1.36522,1.60315,0.00103162,0.00103162,0.00103162
79,304.781,1.82536,1.13739,1.29548,0.60376,0.47153,0.50257,0.19607,2.06247,1.34287,1.55745,0.00102337,0.00102337,0.00102337
80,308.613,1.8054,1.10749,1.3061,0.53411,0.5252,0.51115,0.21214,1.98851,1.29578,1.50741,0.00101512,0.00101512,0.00101512
81,312.431,1.85131,1.15625,1.34311,0.52559,0.52608,0.50164,0.2005,2.04787,1.32325,1.57708,0.00100687,0.00100687,0.00100687
82,316.299,1.85399,1.12554,1.29758,0.59677,0.46972,0.49578,0.207,2.00393,1.37208,1.52041,0.000998616,0.000998616,0.000998616
83,320.148,1.80795,1.13537,1.29511,0.51454,0.46586,0.4677,0.17548,2.13004,1.42629,1.62977,0.000990365,0.000990365,0.000990365
84,323.981,1.79655,1.14162,1.31082,0.57621,0.44028,0.49086,0.19857,2.00045,1.34942,1.54032,0.000982113,0.000982113,0.000982113
85,327.872,1.81053,1.12128,1.28209,0.5737,0.44113,0.48592,0.19813,2.0501,1.42881,1.57101,0.000973861,0.000973861,0.000973861
86,331.685,1.7812,1.10837,1.27742,0.5807,0.42257,0.47949,0.18103,2.1621,1.46305,1.63696,0.00096561,0.00096561,0.00096561
87,335.553,1.80461,1.11339,1.27477,0.53951,0.4744,0.50209,0.20589,2.05139,1.37867,1.54557,0.000957358,0.000957358,0.000957358
88,339.407,1.81103,1.09791,1.28751,0.57787,0.47815,0.48971,0.20397,2.0356,1.37222,1.55251,0.000949106,0.000949106,0.000949106
89,343.248,1.77799,1.08436,1.28489,0.53018,0.46419,0.48306,0.19038,2.10719,1.35635,1.6215,0.000940855,0.000940855,0.000940855
90,347.1,1.7984,1.10916,1.28266,0.60513,0.46979,0.50993,0.20865,2.04969,1.35626,1.56596,0.000932603,0.000932603,0.000932603
91,350.963,1.821,1.08841,1.28542,0.57704,0.47466,0.49476,0.19625,2.06367,1.34447,1.59165,0.000924352,0.000924352,0.000924352
92,354.78,1.74944,1.07273,1.27016,0.55484,0.50997,0.50272,0.20814,2.01967,1.24958,1.53519,0.0009161,0.0009161,0.0009161
93,358.617,1.7585,1.06892,1.26856,0.53768,0.53505,0.50941,0.20503,2.05226,1.30557,1.55557,0.000907848,0.000907848,0.000907848
94,362.429,1.75092,1.06722,1.2706,0.50694,0.49394,0.50601,0.20575,2.04227,1.36481,1.5441,0.000899597,0.000899597,0.000899597
95,366.265,1.75684,1.05699,1.26867,0.52879,0.4953,0.48606,0.18857,2.12735,1.36251,1.62686,0.000891345,0.000891345,0.000891345
96,370.162,1.74696,1.03436,1.24469,0.54873,0.50008,0.49652,0.19354,2.14565,1.34088,1.63451,0.000883093,0.000883093,0.000883093
97,374.006,1.73674,1.03644,1.24524,0.60309,0.4557,0.50024,0.19813,2.11007,1.37058,1.62746,0.000874842,0.000874842,0.000874842
98,377.829,1.71891,1.02862,1.26375,0.54017,0.4822,0.50852,0.19444,2.11591,1.37071,1.59837,0.00086659,0.00086659,0.00086659
99,381.709,1.75938,1.03901,1.25176,0.5319,0.46994,0.49269,0.20255,2.05451,1.37339,1.58821,0.000858338,0.000858338,0.000858338
