epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,318.066,2.17805,1.04386,1.22308,0.54656,0.44896,0.47762,0.17673,2.91438,1.41585,1.62187,0.005644,0.005644,0.005644
90,321.626,2.13725,1.05867,1.20662,0.59272,0.47265,0.51721,0.20752,2.6613,1.37405,1.47889,0.0055945,0.0055945,0.0055945
91,325.192,2.16915,1.06487,1.21661,0.58333,0.45428,0.51188,0.19556,2.8051,1.3728,1.57157,0.005545,0.005545,0.005545
92,328.718,2.09119,1.01799,1.19958,0.57229,0.48995,0.50638,0.19459,2.76253,1.32268,1.53146,0.0054955,0.0054955,0.0054955
93,332.254,2.12392,1.02024,1.20483,0.57945,0.46364,0.5076,0.1879,2.84017,1.36625,1.5884,0.005446,0.005446,0.005446
94,335.779,2.08194,0.99174,1.19785,0.59242,0.45606,0.52352,0.20968,2.71921,1.33404,1.51382,0.0053965,0.0053965,0.0053965
95,339.326,2.08175,0.97969,1.19263,0.63702,0.45845,0.51878,0.20858,2.68757,1.30316,1.49714,0.005347,0.005347,0.005347
96,342.937,2.12973,0.9919,1.19404,0.5698,0.44324,0.48432,0.18569,2.89042,1.46396,1.63663,0.0052975,0.0052975,0.0052975
97,346.488,2.09339,0.99301,1.18632,0.5575,0.45965,0.50015,0.19484,2.83847,1.41967,1.60215,0.005248,0.005248,0.005248
98,350.036,2.08498,0.98217,1.20114,0.64565,0.42624,0.52242,0.21813,2.67914,1.37883,1.49705,0.0051985,0.0051985,0.0051985
99,353.631,2.07875,0.97611,1.17442,0.53863,0.47375,0.50816,0.20747,2.7242,1.4503,1.52079,0.005149,0.005149,0.005149
100,357.179,2.08476,0.98639,1.19441,0.58638,0.43752,0.5,0.19808,2.83555,1.40138,1.60861,0.0050995,0.0050995,0.0050995
101,360.718,2.05484,0.97703,1.18661,0.61762,0.44737,0.5198,0.20756,2.78539,1.34946,1.57445,0.00505,0.00505,0.00505
102,364.262,2.06692,0.9642,1.18314,0.63745,0.45729,0.52941,0.20667,2.79223,1.35621,1.57078,0.0050005,0.0050005,0.0050005
103,367.817,2.07167,0.97703,1.17994,0.57032,0.48198,0.51027,0.20717,2.71977,1.36477,1.51278,0.004951,0.004951,0.004951
104,371.267,2.05085,0.97761,1.18816,0.57069,0.48715,0.49886,0.20199,2.79361,1.28358,1.57315,0.0049015,0.0049015,0.0049015
105,374.799,2.07964,0.96933,1.17701,0.55142,0.4307,0.46484,0.17238,2.9704,1.43205,1.70031,0.004852,0.004852,0.004852
106,378.374,2.04207,0.95709,1.17381,0.59906,0.48589,0.51859,0.20734,2.71931,1.2781,1.5336,0.0048025,0.0048025,0.0048025
