stem,source_video,dist
image_0168,IMG_3921.MOV,0.4589
image_0170,IMG_3916.MOV,0.7188
image_0171,IMG_3921.MOV,0.8271
image_0173,IMG_3921.MOV,0.6768
image_0175,IMG_3935.MOV,0.8672
image_0178,IMG_3934.MOV,0.6557
image_0179,IMG_3913.MOV,0.7833
image_0180,IMG_3916.MOV,0.7331
image_0181,IMG_3917.MOV,0.8493
image_0182,IMG_3935.MOV,0.8151
image_0184,IMG_3934.MOV,0.6962
image_0185,IMG_3938.MOV,0.6343
image_0186,IMG_3938.MOV,0.7447
image_0187,IMG_3913.MOV,0.8813
image_0188,IMG_3921.MOV,0.8466
image_0192,IMG_3920.MOV,0.8201
image_0193,IMG_3916.MOV,0.802
image_0194,IMG_3922.MOV,0.7666
image_0196,IMG_3917.MOV,0.8322
image_0219,IMG_3917.MOV,0.7981
image_0220,IMG_3914.MOV,0.8332
image_0221,IMG_3914.MOV,0.8353
image_0224,IMG_3934.MOV,0.7935
image_0225,IMG_3936.MOV,0.7476
image_0226,IMG_3912.MOV,0.8291
image_0227,IMG_3921.MOV,0.6609
image_0230,IMG_3924.MOV,0.8351
image_0232,IMG_3922.MOV,0.7286
image_0234,IMG_3934.MOV,0.5482
image_0235,IMG_3934.MOV,0.5906
image_0236,IMG_3913.MOV,0.599
image_0237,IMG_3917.MOV,0.6957
image_0238,IMG_3934.MOV,0.832
image_0244,IMG_3913.MOV,0.5749
image_0245,IMG_3936.MOV,0.5036
image_0250,IMG_3921.MOV,0.3575
image_0251,IMG_3917.MOV,0.36
image_0252,IMG_3916.MOV,0.578
image_0258,IMG_3934.MOV,0.7341
image_0259,IMG_3934.MOV,0.7208
image_0262,IMG_3907.MOV,0.8515
image_0265,IMG_3921.MOV,0.6691
image_0266,IMG_3935.MOV,0.7194
image_0267,IMG_3921.MOV,0.5787
image_0268,IMG_3921.MOV,0.5479
image_0269,IMG_3921.MOV,0.4643
image_0350,IMG_3917.MOV,0.8568
image_0356,IMG_3925.MOV,0.8512
image_0357,IMG_3917.MOV,0.8597
image_0360,IMG_3917.MOV,0.8251
image_0361,IMG_3913.MOV,0.8615
image_0363,IMG_3917.MOV,0.8131
image_0364,IMG_3934.MOV,0.533
image_0367,IMG_3907.MOV,0.5653
